gust  -> вкус 
sparkling with iridescence.  -> сверкающий переливом. 
iridescence.  -> радужность. 
watermark on your blazer  -> Водяной знак на вашем пиджаке 
headlights of his motor carriage?  -> фары его моторной кареты? 
neatly  -> аккуратно 
sodden papers  -> Размокшая бумага 
yellowed in patches  -> пожелтевшие пятнами 
dense  -> густой 
watercolour patterns,  -> акварельные узоры, 
reaching its tendrils across entire pages.  -> достигая своих усиков на целых страницах. 
chequered  -> клетчатый 
faint  -> слабый 
exclaims:  -> восклицает: 
crumpled up,  -> скомканный, 
earmarked pages  -> Целевые страницы 
illegible.  -> неразборчивый. 
Strife.  -> Борьба. 
*odd* naming convention  -> *нечетное* соглашение об именах 
Undertaken, not completed,  -> Предпринято, не завершено, 
Undertaken, not completed, mind you  -> Предпринято, а не завершено, заметьте; 
Lest you start making mistakes."  -> Чтобы вы не начали ошибаться». 
was presumptuous of me."  -> был самонадеянным с моей стороны». 
brisk pace.  -> Быстрый темп. 
gills  -> жабры 
chequered  -> клетчатый 
employ a... shall we say *robust yet literary* system.  -> Нанять... скажем так, «надежная, но литературная» система. 
*robust  -> *крепкий 
snoop fiction  -> Шпионская фантастика 
Vespertine cop show staples.  -> Вечерний полицейский показывает скобы. 
THE NEXT WORLD MURAL,  -> НАСТЕННАЯ РОСПИСЬ СЛЕДУЮЩЕГО МИРА, 
light-hearted:  -> беззаботный: 
PARLOUR,  -> ГОСТИНАЯ 
COLLAPSING TENEMENT.  -> РАЗРУШАЮЩИЙСЯ МЕХАНИЗМ. 
holdover  -> пережиток 
amuse  -> развлекать 
"Rail spike through the head.  -> «Рельсовый шип через голову. 
worn-down led pencil.  -> Изношенный светодиодный карандаш. 
hang from the binder,  -> повесить на переплет, 
resentment*.  -> негодование*. 
Blue Oblong pen  -> Синяя продолговатая ручка 
brash freehand uncannily similar  -> дерзкий от руки, сверхъестественно похожий 
mental rigour  -> Строгость ума 
out of place.  -> не к месту. 
Citizens Militia.  -> Гражданское ополчение. 
Militia.  -> Милиция. 
"THE FURIES ARE AT HOME IN THE MIRROR’  -> «ФУРИИ ЧУВСТВУЮТ СЕБЯ КАК ДОМА В ЗЕРКАЛЕ» 
Elysium  -> Рай 
urinal cleaner.  -> Очиститель писсуаров. 
translucent  -> просвечивающий 
copier paper  -> копировальная бумага 
*rip* them from the binder,  -> *вырвать* их из папки, 
MISCONDUCT FINES,  -> ШТРАФЫ ЗА НЕПРАВОМЕРНЫЕ ДЕЙСТВИЯ, 
FIELD AUTOPSY FORMS.  -> ПОЛЕВЫЕ ФОРМЫ ВСКРЫТИЯ. 
penalization  -> Наказание 
pleasantly vague.  -> приятно расплывчато. 
Precinct  -> Участок 
wrongdoers,  -> правонарушители, 
The rest of the stinking cellulose is *much* worse for wear.  -> Остальная часть вонючей целлюлозы *намного* хуже изнашивается. 
Being sandwiched  -> Быть зажатым 
must have spared the fragile copier paper.  -> Должно быть, пощадил хрупкую копировальную бумагу. 
shimmers  -> Мерцает 
embossed  -> рельефный 
rattles inside,  -> гремит внутри, 
compartment?  -> отделение? 
Permeables.  -> Проницаемый. 
The plastic shimmers like lapis lazuli,  -> Пластик переливается, как лазурит, 
U4-sized pages hang from the clip screwed to the top of the board.  -> Страницы размером U4 свисают с зажима, привинченного к верхней части доски. 
stench  -> зловоние 
rubbed off  -> стертый 
rubbed off on the cellulose.  -> Оттирается о целлюлозу. 
sprinkled liberally with the citrus zest of toilet cleaner.  -> обильно посыпать цитрусовой цедрой средства для чистки унитаза. 
The ledger quivers in your hand.  -> Бухгалтерская книга дрожит в вашей руке. 
Arson.  -> Поджог. 
Petty theft.  -> Мелкое воровство. 
on the margin.  -> на полях. 
Why yes. Your precinct number is 41.  -> Почему да. Ваш номер участка - 41. 
devised.  -> Разработали. 
graffito -- nay, a mural!  -> Граффито - нет, фреска! 
eight story tenement  -> Восьмиэтажный многоквартирный дом 
overlooking Central  -> с видом на Центральный 
sparsely  -> редко 
The text cut into their forms reads:  -> Текст, разрезанный на их формы, гласит: 
WREAK HAVOC ON THE MIDDLE CLASS  -> ПОСЕЯТЬ ХАОС В СРЕДНЕМ КЛАССЕ 
complaints  -> Жалобы 
complaints desk gets clogged  -> Отдел жалоб забит 
*literage* of industrial paint to cover the surface.  -> *литр* промышленной краски для покрытия поверхности. 
ideologue  -> идеолог 
public support for conservation.  -> общественная поддержка сохранения. 
arare plebiscite -- organized by you and the rest of Row III.  -> Араре плебисцит - организован вами и остальной частью третьего ряда. 
subjected to the mural’s message  -> Подчинен посланию фрески 
rumbling  -> урчание 
how juvenile and stupid the mural is,  -> как ювенильна и глупа фреска, 
staggering  -> ошеломляющий 
rubbish  -> мусор 
What do you want to tackle next?  -> Чем вы хотите заняться дальше? 
Burke will always trash everything.  -> Берк всегда будет все мусорить. 
incarceration.  -> заточение. 
dismantling signage  -> Демонтаж вывесок 
rear view mirrors,  -> зеркала заднего вида, 
distorted features  -> Искаженные черты 
improbability on par with you ceasing to produce *The Expression*.  -> невероятность наравне с тем, что вы перестаете производить *Выражение*. 
Perdition,  -> Погибель 
expose  -> подвергать 
uncover  -> снимать 
You uncover cross-reference to several ongoing investigations, each brought to a standstill every time you drive down Main Street.  -> Вы обнаруживаете перекрестные ссылки на несколько текущих расследований, каждое из которых останавливается каждый раз, когда вы едете по Мейн-стрит. 
takes a swing  -> замахивается 
Potent Pilsner.  -> Мощный пилзнер. 
permeable documents  -> Проницаемые документы 
jammed shut.  -> заклинило. 
tending  -> присмотр 
*He came at us*  -> *Он пришел к нам* 
come around.  -> Приезжайте. 
permeables'  -> проницаемый' 
kneecaps.  -> коленные чашечки. 
With Burke to tend to,  -> С Берком, чтобы стремиться, 
cuts back  -> сокращает 
(narrowly)  -> (узко) 
sags  -> Провисает 
steering  -> рулевой 
gauge.  -> измерительный прибор. 
steering  -> рулевой 
enclosure."  -> ограждение». 
hubcaps  -> колпаки 
sparkle  -> искриться 
Four shiny hubcaps are stacked against the seat.  -> Четыре блестящих колпака сложены напротив сиденья. 
mesmerizing."  -> завораживающе». 
frivolous  -> легкомысленный 
vanity."  -> тщеславие». 
outrageous.”  -> возмутительно». 
wacky."  -> дурацкий». 
pre-heater LA  -> предпусковой подогреватель LA 
gauge  -> измерительный прибор 
whiny  -> Плаксивым 
unfold  -> развертывать 
headlamp,  -> фара 
iridescent  -> радужный 
micro-perforations.  -> микроперфорации. 
shimmering  -> Мерцающий 
overlaid  -> Наложение 
glimmer faint  -> мерцание, тусклый 
jutting  -> Выступающий 
perforations.  -> Перфорации. 
Tally up  -> Подсчет 
blissful  -> блаженный 
solace  -> утешение 
"For an officer it's rather... tame.  -> «Для офицера это скорее... приручать. 
ghoulish game.  -> Омерзительная игра. 
"How do you handle the strain?"  -> «Как вы справляетесь с напряжением?» 
iridescent  -> радужный 
marvels  -> Чудеса 
defraud  -> обманывать 
Jump a Mesque banger? o<  -> Прыгнуть на меске? О< 
enthralled  -> Восторг 
frowns.  -> хмурится. 
particle decay generator  -> Генератор распада частиц 
fuel containment vessel  -> Емкость для удержания топлива 
spill.”  -> разлив». 
bitterness.  -> горечь. 
shack  -> лачуга 
shack and the assorted junk in it."  -> Лачуга и разное барахло в ней». 
He shrugs.  -> Он пожимает плечами. 
meltdown*.  -> Кризиса*. 
Outward  -> Внешний 
vortices."  -> вихри». 
PSYCHE  -> ПСИХИКА 
brisk,  -> проворный 
air outside is brisk,  -> воздух на улице бодрый, 
hum,  -> жужжание 
interdepartmental  -> межведомственный 
prescribed  -> предписанный 
fugitives  -> Беглецов 
strongly admonished not to abuse that power.”  -> настоятельно предостерегает не злоупотреблять этой властью». 
thoroughly  -> тщательно 
paramount  -> первостепенный 
Moralintern  -> Моралстажер 
contention  -> спор 
leases  -> Аренды 
leases us the right  -> сдает нам в аренду право 
blue forget-me-not.  -> Голубая незабудка. 
you can gauge what they *want* you to think  -> Вы можете оценить, что они *хотят*, чтобы вы думали 
premises  -> помещение 
emphasizing  -> Подчеркивая 
snakeskin shoes  -> Обувь из змеиной кожи 
unnecessary e trial of will.  -> Ненужное испытание завещания. 
flicks the will.  -> щелкает завещанием. 
contemplating  -> Созерцая 
An aerostatic passes overhead  -> Аэростат проходит над головой 
whiskers  -> усы 
floodlights  -> Прожекторы 
And the mouth on that kid,  -> И рот на том ребенке, 
inland.  -> средиземный. 
cracks.  -> Трещины. 
equestrian  -> конный 
disintegrate.”  -> распадаются». 
stub  -> пень 
coarse and clammy  -> грубый и липкий 
coarse  -> грубый 
sags  -> Провисает 
lumps.  -> комки. 
pillowcase smells oddly.  -> Наволочка странно пахнет. 
eyelids  -> Веки 
until your eyelids *twitch* in your sleep  -> до тех пор, пока твои веки не *дернутся* во сне 
thighs,  -> Бедра 
stood  -> стоять 
cramping  -> Судороги 
were only cramping your *descent into the abyss*.  -> только стесняли ваш *спуск в бездну*. 
The pale and the isolas  -> Бледные и изолы 
*high-conductivity state*  -> *состояние высокой проводимости* 
bumping into things  -> Натыкаясь на вещи 
Jumbled up  -> Перемешал 
un-nourishing.  -> непитательный. 
Rejuvenating.  -> Омолаживающий. 
Uplifting.  -> Поднятие. 
debilitating  -> Изнурительной 
turned up."  -> подвернулся». 
rowdy.  -> буян. 
"They look rowdy.  -> «Они выглядят шумными. 
preliminary  -> предварительный 
might not warrant an all-out war.  -> может и не оправдывать тотальную войну. 
He glances at the booth again.  -> Он снова бросает взгляд на будку. 
mesmerising.  -> завораживающе. 
foldable  -> Складной 
foldable headlights.  -> складные фары. 
resentment  -> негодование 
There is *no* resentment in her tone.  -> В ее тоне нет обиды. 
tense up  -> Напрягитесь 
gulps.  -> глотками. 
plainclothes.  -> Штатском. 
exacerbated.  -> обостренный. 
wean off them.  -> отучить от них. 
"You tried to jam it down the toilet,  -> «Ты пытался запихнуть его в унитаз, 
clogging it completely.  -> забивая его полностью. 
lest she turns into  -> чтобы она не превратилась в 
spinster!  -> старая дева! 
playing hardball  -> Игра в хардбол 
hunch  -> горб 
"I've got a hunch  -> «У меня есть предчувствие 
"He seems intoxicated  -> «Он кажется пьяным 
indulge in his drunken antics!"  -> Предавайтесь его пьяным выходкам! 
Emitting  -> Излучающий 
repulsive.  -> отталкивающий. 
Your body curls  -> Ваше тело скручивается 
vomit  -> рвота 
your throat stings from the stomach  -> У вас горло жалит из желудка 
distilled spirit  -> дистиллированный спирт 
checkered handkerchief.  -> Клетчатый носовой платок. 
apothecary?  -> аптекарь? 
greenhouse.  -> теплица. 
wheelbarrow  -> тачка 
ennui.  -> скука. 
She hitches her thumb  -> Она цепляет большой палец 
She hitches her thumb toward  -> Она показывает большой палец в сторону 
hitches  -> Заминок 
She scrunches up her face  -> Она морщит лицо 
consummate adolescent scepticism.  -> непревзойденный подростковый скептицизм. 
legal counsellor  -> юрисконсульт 
devoid  -> лишенный 
gruff humph  -> Грубоватый Хамф 
digress."  -> Отвлекся». 
ducts.  -> Воздуховодов. 
cadaver day  -> День трупа 
unbecoming  -> неприличный 
hemispheres  -> Полушарий 
vespertine  -> вечерний 
penitent,  -> кающийся 
flagellant  -> флагеллант 
grovelling  -> пресмыкательство 
lurid  -> огненный 
swirls  -> Завихрения 
excrement,  -> кал 
juggling  -> жонглирование 
eczema ridden mauns grinning  -> Экзема, охваченная ухмылкой, ухмыляется 
dancing on wooden clogs.  -> танцы на деревянных сабо. 
seolite cast  -> Сеолитовый литой 
cast  -> гипс 
hatching  -> штриховка 
hatching some kind of scheme.  -> вынашивание какой-то схемы. 
*race empyreon*,  -> *расовый эмпиреон*, 
vertigo  -> головокружение 
wilderness.  -> пустыня. 
tartan-ready.  -> Готов к тартану. 
depiction  -> изображение 
quaint,  -> причудливый 
mug  -> кружка 
screeches.  -> визги. 
kingpin.  -> важное лицо. 
yanking  -> Дергание 
yanking my chain,  -> дергаю меня за цепь, 
Belying  -> Опровергание 
Belying the act,  -> Опровергая поступок, 
furball.  -> Пушистый шар. 
genuinely  -> неподдельно 
pinch of pride.  -> щепотка гордости. 
Funk up that *vanilla* murder investigation.  -> Поднимите это *ванильное* расследование убийства. 
coarse  -> грубый 
uncombed,  -> непричесанный, 
with a larger frame.  -> с большей рамой. 
jotting down  -> Запись 
not out in the reeds.  -> не в камышах. 
"We hit it off  -> «Мы нашли общий язык 
wistfully.  -> Задумчиво. 
minutiae."  -> мелочи». 
*phasmid*  -> *фазмид* 
resemble twigs,  -> напоминают веточки, 
colloquially.  -> Разговорно. 
a living *reed*.  -> живой *тростник*. 
newspaper clipping  -> Вырезка из газеты 
Yes, my *standard* liege.  -> Да, мой *стандартный* сеньор. 
sire.  -> сир. 
would've thunk it?  -> Завалил бы его? 
herring-flavoured '  -> со вкусом сельди ' 
liquorice ice cream of your mind.  -> лакричное мороженое вашего разума. 
the cock carousel  -> Петушиная карусель 
going merrily around.)  -> весело ходя вокруг.) 
The great skua.  -> Большой поморник. 
mirthless laugh.  -> Безрадостный смех. 
foul play?"  -> Нечестная игра? 
Emitting  -> Излучающий 
wring  -> выжимать 
squinting eyes  -> прищуривание глаз 
tendons.  -> Сухожилий. 
enameled  -> эмалированный 
enameled boots.  -> эмалированные сапоги. 
marbled  -> крапчатый 
marbled with decaying veins  -> мраморный с разлагающимися прожилками 
blotched  -> пятнистый 
lividity.  -> Синюшность. 
blotched by lividity.  -> запятнанный яростью. 
fasten him  -> Пристегните его 
stark  -> сильный 
Its clean white stands in stark contrast to the decaying flesh  -> Его чистый белый цвет резко контрастирует с разлагающейся плотью 
probably for padding.  -> Наверное, для набивки. 
fine array of interlocking plates covers them.  -> Их покрывает тонкий массив блокирующих пластин. 
armour he was stripped of."  -> доспехов, с которых он был лишен». 
*sabatons*,  -> *Башмаки* 
crouches  -> Приседает 
'vitreous enamel'.  -> 'стекловидная эмаль'. 
Fairweather..."  -> Фэйрвезер...» 
demean  -> унижать 
interject  -> вмешиваться 
Constabulary's  -> Полиция 
deemed  -> Считается 
The Constabulary's deemed it too costly.  -> Полиция посчитала это слишком дорогостоящим. 
semi- automatics.  -> полуавтоматика. 
(unadjusted for rank).  -> (без поправки на ранг). 
"Sounds puny.  -> «Звучит ничтожно. 
porcelain  -> фарфор 
Dissipating  -> Рассеивания 
Faint, organic  -> Слабый, органический 
..like whorls of floorboards.  -> .. как мутовки половицы. 
ebony  -> чёрное дерево 
fractures  -> Переломы 
glossy  -> глянцевый 
intricate  -> сложный 
whorls  -> мутовки 
drying ball  -> Шарик для сушки 
pull his head off."  -> оторви ему голову». 
mongrels  -> Дворняг 
coroner's case  -> Дело коронера 
organic matter in his body  -> Органическое вещество в его организме 
"Processing will take care of them.  -> «О них позаботится переработка. 
extremities  -> конечности 
blotched  -> пятнистый 
knot  -> узел 
buckle  -> пряжка 
cargo lashing belt,  -> грузовой крепежный ремень, 
noose.  -> петля. 
strands.  -> Нити. 
noose  -> петля 
splintering  -> расщепление 
I didn't see any splintering either,  -> Я тоже не видел никаких осколков, 
mundane.”  -> обыденный». 
I'm just lumbering from R  -> Я просто неуклюж от R 
intricate  -> сложный 
plexus,  -> сплетение 
asterisks  -> Звездочки 
riddle  -> загадка 
asterisks riddle his skin,  -> звездочки изрешетили его кожу, 
charts,  -> Диаграммы 
astronomical charts,  -> астрономические карты, 
dissipates  -> Рассеивается 
holster  -> кобура 
milled  -> молотый 
unsheathed.  -> обнаженный. 
"An instant colour camera."  -> «Мгновенная цветная камера». 
apparatus.  -> аппарат. 
shrill  -> пронзительный 
man of physical violence.  -> человек физического насилия. 
teeming  -> переполненный 
opportunistic organisms.  -> условно-патогенные организмы. 
protruding  -> выдающийся 
sub-aquatic terrors  -> Подводные ужасы 
wild pale yonder.  -> Дикий бледный вон там. 
(Black, frothy liquid starts bubbling  -> (Черная пенистая жидкость начинает пузыриться 
copparooni.  -> коппаруни. 
child born with Moller's disease  -> ребенок, родившийся с болезнью Моллера 
Harlequinism  -> Арлекинизм 
wriggled out of that one,  -> извивался из того, 
postmortem.  -> вскрытие трупа. 
first hours postmortem.  -> Первые часы вскрытия. 
discolouration?  -> Обесцвечивание? 
extremities  -> конечности 
his fatted hands,  -> его жирные руки, 
just above the noose.  -> чуть выше петли. 
"His neck too, the lividity goes right up his chin.  -> «Его шея тоже, ярость идет прямо по подбородку. 
lividity  -> Синюшность 
discolouration  -> обесцвечивание 
marbled  -> крапчатый 
marbled veins.  -> мраморные прожилки. 
upright after death.  -> в вертикальном положении после смерти. 
discoloured."  -> обесцвеченный». 
mulled it over  -> обдумывал это 
hypostasis  -> ипостась 
hypostasis supports a hanging"  -> Ипостась поддерживает повешение» 
Diiment noté.  -> Диимент отметил. 
strangled  -> Задушил 
ligament marks  -> Следы от связок 
in tune  -> В гармонии 
faeces  -> кал 
blood and faeces has eaten into the frozen mud below  -> Кровь и фекалии въелись в замерзшую грязь внизу 
Purge  -> Чистка 
Purge liquid is dripping into it, drop by drop.  -> Продувочная жидкость капает в него, капля за каплей. 
digestion  -> пищеварение 
dwell on it  -> Остановимся на нем 
delinquents have made our jobs harder  -> Правонарушители усложнили нашу работу 
"Stop talking in riddles, coin slot."  -> «Перестань болтать загадками, слот для монет». 
nostrils.  -> Ноздри. 
wrecking crew.  -> аварийно-спасательная бригада. 
commission off items  -> Комиссионные товары 
agenda.  -> повестка дня. 
chicken on a skewer...  -> курица на шпажке... 
unrestrained.  -> несдержанный. 
elbows sharp,  -> локти острые, 
paper cartn'dge  -> Бумажная корзина 
scouring  -> очистка 
five tucks.  -> Пять вытачек. 
Ascetic,  -> Аскет 
frugal,  -> бережливый 
assumes the Falostesse position,  -> принимает положение Фалостесса, 
shrill blast  -> Пронзительный взрыв 
cloud of smoke slowly parts in the air,  -> облако дыма медленно расступается в воздухе, 
Cuno's not fucking handicapped,  -> Куно ни хрена не инвалид, 
binoclard."  -> Биноклард». 
Cuno feels sorry for the binoclard."  -> Куно жалко бинокларда. 
diadem  -> Диадема 
permeables’ drawer inside.  -> Ящик для проходных предметов внутри. 
stained  -> запятнанный 
cockatoo  -> какаду 
indulge  -> потакать 
*pulp* staples?  -> *мякоть* основные продукты? 
staples?  -> Скобы? 
*pulp*  -> *пульпа* 
flock of seabirds  -> Стая морских птиц 
flock  -> стадо 
Is it a *hunch*?  -> Это *догадка*? 
distressed."  -> огорчен». 
straightens.  -> выпрямляется. 
apron  -> фартук 
sweet sprout,  -> сладкий росток, 
"Better not to tie the forestay to the backstay on this.  -> «Лучше не привязывать форштаг к бакштагу на этом. 
"acute  -> «Острый 
bariatric  -> бариатрический 
juncture.  -> соединение. 
at some later juncture.  -> на каком-то более позднем этапе. 
*sphenicid*  -> *сфеницид* 
tenants  -> Арендаторов 
*batiments*,  -> *Зданий* 
*tenements*,  -> *многоквартирные дома*, 
*noveau*,  -> *Ново*, 
crumbling facade...  -> осыпающийся фасад... 
crumbling  -> разрушение 
eight to ten stories tall  -> От восьми до десяти этажей в высоту 
lopped  -> Обрезанный 
cannons lopped four or five stories off..."  -> пушки срезали четыре или пять этажей...» 
*primo*  -> *первый* 
"Splat-splat!"  -> — Сплат-сплат! 
dilapidated  -> полуразрушенный 
sawing motion.  -> распиливающее движение. 
sullen  -> угрюмый 
*infraculture*."  -> *Инфраструктура*." 
supraculture.  -> Надкультура. 
vernacular.  -> народный. 
with its own dress code and vernacular.  -> со своим дресс-кодом и народным языком. 
subsume  -> включать в категорию 
leisurely  -> неторопливый 
of the decade it ravished,  -> десятилетия, которое он опустошал, 
ravished,  -> Изнасилованной 
"The New, a cultural era and the name of the decade it ravished,  -> «Новая, культурная эпоха и название десятилетия, которое она опустошила, 
veritable  -> истинный 
repository  -> хранилище 
rabid,  -> бешеный 
encompassing  -> Охватывающий 
behest  -> повеление 
chagrin."  -> огорчение». 
stasis  -> застой 
laissez-faire  -> Руки прочь 
botched  -> Неудачной 
sturdy  -> стойкий 
Cracked it.  -> Треснул его. 
divulge  -> разглашать 
craven!  -> малодушный! 
I hope your heart gives out."  -> Я надеюсь, что твое сердце сдастся». 
wistfully.  -> Задумчиво. 
wimp."  -> слабак». 
Reproach  -> Упрекать 
*gauche caviar*  -> *левая икра* 
prick  -> укол 
solemnly.  -> торжественно. 
snaps  -> Привязки 
rigid,  -> жёсткий 
marble  -> мрамор 
"Crossfire."  -> «Перекрестный огонь». 
boules  -> петанк 
His eyes fix on the boules in the crater.  -> Его взгляд устремлен на були в кратере. 
weathervane  -> флюгер 
rabble,"  -> сброд», 
"Officer, I have a vivid  -> «Офицер, у меня есть яркий 
fluffs it up.  -> распушает его. 
merrily.  -> весело. 
"*Mon dieu*.."  -> «*Боже мой*..» 
consummate professionals.  -> Непревзойденные профессионалы. 
shelf-stable  -> Стабилен при хранении 
hassle,  -> перебранка 
no hassle,  -> никаких хлопот, 
bargain  -> сделка 
He takes a ten-note from a leather pouch.  -> Он достает из кожаного мешочка десять банкнот. 
inane  -> глупый 
chatter  -> болтовня 
squeals  -> визги 
serenity.  -> безмятежность. 
"A real looker,  -> «Настоящий смотрящий, 
ripe  -> спелый 
headcount  -> Численность персонала 
incarcerations.  -> лишение свободы. 
lean at the hips.  -> Обопритесь на бедра. 
Rugby cap,  -> Кепка для регби, 
'Rowing  -> «Гребля 
squint.)  -> прищуриваются.) 
*plectrum*?  -> *плектр*? 
heaving  -> подъем 
wheezing:  -> Хрипы: 
heaving and wheezing:  -> пучение и хрипы: 
*discrepancy*.  -> *расхождение*. 
perpetrator!”  -> преступник!» 
interjects.  -> междометия. 
The woman interjects.  -> Женщина вставляет. 
"These *seven* honest men have *equally* come forth.  -> «Эти *семь* честных людей *в равной степени* вышли. 
diluting responsibility.  -> размывание ответственности. 
remorse?”  -> угрызения совести? 
called the shots  -> вызвал выстрелы 
clamped  -> Зажимается 
vice.  -> порок. 
paratrooper  -> десантник 
he roars.  -> Он рычит. 
harassed  -> Преследованиям 
harassed women.  -> домогательства к женщинам. 
spittle  -> слюна 
scabs  -> Струпья 
bend over."  -> Наклонись». 
If we don't bend over."  -> Если мы не прогнемся». 
knuckles.  -> Суставы. 
'favourite joint'  -> «Любимый косяк» 
joint'  -> Джойнт' 
disbelief.  -> неверие. 
He shakes his head in disbelief.  -> Он недоверчиво качает головой. 
allegation.  -> заявление. 
stonewalling  -> парламентская обструкция 
He's stonewalling you.  -> Он загоняет вас в тупик. 
sent to the *chaise*?  -> Отправили в *бричку*? 
"How many people have you sent to the *chaise*?  -> «Сколько человек вы отправили в бричку? 
*chaise*?  -> *стул*? 
sent behind bars.”  -> отправили за решетку». 
solitary?  -> одинокий? 
"Ever been in solitary?  -> «Вы когда-нибудь были в одиночной камере? 
no singling anyone out.  -> Никого не выделять. 
smirk  -> ухмылка 
complicit  -> Соучастник 
more complicit than  -> более замешанный, чем 
mull it over.  -> Обдумайте это. 
insinuation  -> инсинуация 
"That's enough insinuation for today,  -> «Хватит инсинуаций на сегодня, 
muffle him? _)4  -> Заглушить его? _)4 
"We overpowered him,  -> «Мы одолели его, 
whiny  -> Плаксивым 
composed.  -> спокойный. 
lobbed their way.  -> лоббировали свой путь. 
fidgeting, cracking under the pressure?  -> ерзает, трещит под напором? 
fading pearls  -> Увядающий жемчуг 
glides  -> Скользит 
montage,  -> собрание 
endearment  -> ласка 
coined for it.  -> придумано для этого. 
petrofascists.”  -> петрофашисты». 
You wouldn't know it from the tabloids,  -> Вы бы не узнали этого из таблоидов, 
trickle  -> струйка 
trickle of images.  -> струйка изображений. 
"Pale covers 72% of the surface.  -> «Бледный покрывает 72% поверхности. 
There are grey ﬂar.es a.md promine.nces, even arcs above entire isolas...  -> Есть серые flar.es a.md промины, даже дуги над целыми изоляциями... 
spooked.  -> Напуган. 
homely,  -> простой 
rarefied envelope  -> Разреженная оболочка 
darkened disc of our planet.  -> Потемневший диск нашей планеты. 
swathes  -> Участки 
vast swathes  -> Обширные полосы 
jolt us out of our rut  -> Вытолкните нас из нашей колеи 
fractured  -> Перелом 
convey  -> передавать 
depict  -> изображать 
railing:  -> перила: 
adamant...”  -> непреклонен...» 
interisolary mass.”  -> промежуточная масса». 
separative tissue  -> Сепарирующая ткань 
separative tissue between the isolas.  -> разделительная ткань между изолями. 
perishing  -> Уничтожение 
perishing an dear.”  -> погибнуть дорогой». 
"Achromatic, odourless, featureless.  -> «Ахроматический, без запаха, без ликого. 
negation  -> отрицание 
suspension of properties:  -> Приостановка свойств: 
epistemological,  -> эпистемологический, 
steeper  -> Круче 
"Language balks at the difference.”  -> «Язык упирается в разницу». 
uproar of matter,  -> шум материи, 
*porch collapse*."  -> *обрушение крыльца*». 
mould  -> плесень 
deflate,  -> выкачивать 
stems from extreme sensory deprivation.  -> проистекает из крайней сенсорной депривации. 
That it's rarefied past, not rarefied matter. -  -> Что это разреженное прошлое, а не разреженная материя. - 
blend-over of  -> Смешивание 
blend-over  -> Блендер 
*Entroponetic Business Class*.  -> *Энтропонетический бизнес-класс*. 
annually.  -> ежегодно. 
"Up to my gills,  -> «До жабр, 
"*Entroponetics*,"  -> «*Энтропонетика*», 
Western Plain."  -> Западная равнина». 
Or a recent iteration of it,  -> Или его недавняя итерация, 
circumference  -> окружность 
like a skipping stone beneath the surface.  -> как прыгающий камень под поверхностью. 
ratio is slipping."  -> Коэффициент ускользает». 
detriment  -> вред 
